"","Start","End","start_ts","end_ts","ZMAN[ppb]","ZBLG[ppb]","ZRIS[ppb]","ZSBS[ppb]","Ro[ppb]","Sch[ppb]","Ka[ppb]","Heu[ppb]"
"1",2018-12-04,2018-12-18,1543881600,1545091200,33.99,13.07,6.8,24.58,21.96,19.87,13.59,8.37
"2",2018-12-18,2019-01-03,1545091200,1546473600,NA,9.93,NA,19.87,19.35,NA,NA,7.84
"3",2019-01-03,2019-01-15,1546473600,1547510400,33.99,10.98,4.71,24.05,21.44,18.82,11.5,7.32
"4",2019-01-15,2019-01-29,1547510400,1548720000,35.03,15.69,7.32,26.14,26.14,21.44,15.16,9.93
"5",2019-01-29,2019-02-12,1548720000,1549929600,38.69,15.69,8.37,27.71,27.71,23.01,18.3,10.46
"6",2019-02-12,2019-02-26,1549929600,1551139200,41.31,21.96,8.89,31.9,31.37,28.24,21.44,9.93
"7",2019-02-26,2019-03-12,1551139200,1552348800,35.03,10.46,3.14,21.96,24.58,16.21,10.46,5.23
"8",2019-03-12,2019-03-26,1552348800,1553558400,NA,NA,NA,NA,NA,NA,NA,NA
"9",2019-03-26,2019-04-09,1553558400,1554768000,40.78,11.5,3.66,27.19,25.1,21.96,11.5,4.71
"10",2019-04-09,2019-04-23,1554768000,1555977600,38.69,10.46,3.66,26.67,21.44,21.44,10.46,4.18
"11",2019-04-23,2019-05-07,1555977600,1557187200,35.03,8.89,2.61,23.01,24.58,16.73,9.41,3.66
"12",2019-05-07,2019-05-21,1557187200,1558396800,39.22,7.32,3.14,23.53,23.01,16.73,7.84,4.18
"13",2019-05-21,2019-06-04,1558396800,1559606400,44.44,8.37,2.09,26.14,26.67,18.82,8.89,3.66
"14",2019-06-04,2019-06-18,1559606400,1560816000,42.35,6.8,2.61,25.62,24.05,18.3,7.84,3.66
"15",2019-06-18,2019-07-02,1560816000,1562025600,NA,8.37,3.66,29.28,31.37,21.96,9.41,4.18
"16",2019-07-02,2019-07-16,1562025600,1563235200,46.01,7.84,3.66,27.71,27.19,19.35,8.89,4.18
"17",2019-07-16,2019-07-30,1563235200,1564444800,47.58,7.84,2.09,27.71,26.67,18.3,8.89,3.14
"18",2019-07-30,2019-08-13,1564444800,1565654400,39.74,6.8,2.61,21.96,25.1,15.16,7.32,3.14
"19",2019-08-13,2019-08-27,1565654400,1566864000,41.31,8.89,3.14,24.58,26.67,18.82,9.93,3.66
"20",2019-08-27,2019-09-10,1566864000,1568073600,45.49,9.41,3.14,25.1,29.28,18.82,9.93,4.18
"21",2019-09-10,2019-09-24,1568073600,1569283200,42.35,10.98,4.18,25.62,27.71,20.92,12.03,5.75
"22",2019-09-24,2019-10-08,1569283200,1570492800,33.99,8.37,2.61,20.92,23.01,15.69,9.41,5.23
"23",2019-10-08,2019-10-22,1570492800,1571702400,35.56,12.03,3.66,22.48,24.58,19.35,12.55,5.75
"24",2019-10-22,2019-11-05,1571702400,1572912000,33.46,12.03,5.75,22.48,21.44,19.35,12.55,6.8
