"","Date[UTC]","RLM","RF","Reference","timestamp","Status"
"1",2019-12-12 14:10:00,28.94,25.01,21.4828,1576159800,"Unfiltered"
"2",2019-12-12 14:20:00,25.89,24.84,18.5078,1576160400,"Unfiltered"
"3",2019-12-12 14:30:00,26.98,25.45,22.5377,1576161000,"Unfiltered"
"4",2019-12-12 14:40:00,29.42,27.08,21.814,1576161600,"Unfiltered"
"5",2019-12-12 15:00:00,40.6,35.26,29.2972,1576162800,"Unfiltered"
"6",2019-12-12 15:10:00,35.89,34.46,28.5751,1576163400,"Unfiltered"
"7",2019-12-12 15:20:00,28.83,29.37,20.1291,1576164000,"Unfiltered"
"8",2019-12-12 15:30:00,37.3,33.14,34.6349,1576164600,"Unfiltered"
"9",2019-12-12 15:40:00,45.06,39.92,42.0784,1576165200,"Unfiltered"
"10",2019-12-12 15:50:00,52.58,42.31,51.0641,1576165800,"Unfiltered"
"11",2019-12-12 16:00:00,48.42,40.49,44.9631,1576166400,"Unfiltered"
"12",2019-12-12 16:10:00,50.15,45.82,46.5153,1576167000,"Unfiltered"
"13",2019-12-12 16:20:00,52.49,47.16,52.3401,1576167600,"Unfiltered"
"14",2019-12-12 16:30:00,47.58,45.1,44.1281,1576168200,"Unfiltered"
"15",2019-12-12 16:40:00,49.83,46.66,51.3931,1576168800,"Unfiltered"
"16",2019-12-12 16:50:00,42.08,40.5,45.5867,1576169400,"Unfiltered"
"17",2019-12-12 17:00:00,29.96,33.21,38.733,1576170000,"Unfiltered"
"18",2019-12-12 17:10:00,31.27,34.19,35.4452,1576170600,"Unfiltered"
"19",2019-12-12 17:20:00,33.12,35.52,34.4466,1576171200,"Unfiltered"
"20",2019-12-12 17:30:00,44.16,41.63,46.9129,1576171800,"Unfiltered"
"21",2019-12-12 17:40:00,38.99,39.31,37.9262,1576172400,"Unfiltered"
"22",2019-12-12 18:00:00,40.48,40.64,41.5516,1576173600,"Unfiltered"
"23",2019-12-12 18:10:00,40.51,40.65,42.2019,1576174200,"Unfiltered"
"24",2019-12-12 18:20:00,47.77,42.9,48.6446,1576174800,"Unfiltered"
"25",2019-12-12 18:30:00,39.21,38.64,39.6597,1576175400,"Unfiltered"
"26",2019-12-12 18:40:00,32.18,34.24,32.579,1576176000,"Unfiltered"
"27",2019-12-12 18:50:00,34.33,35.82,34.4739,1576176600,"Unfiltered"
"28",2019-12-12 19:00:00,33.22,35.11,33.6274,1576177200,"Unfiltered"
"29",2019-12-12 19:10:00,30.81,33.13,30.0508,1576177800,"Unfiltered"
"30",2019-12-12 19:20:00,28.32,31.86,29.3287,1576178400,"Unfiltered"
"31",2019-12-12 19:30:00,31.6,33.87,30.925,1576179000,"Unfiltered"
"32",2019-12-12 19:40:00,31.56,34.14,29.7765,1576179600,"Unfiltered"
"33",2019-12-12 19:50:00,29.22,32.83,29.7272,1576180200,"Unfiltered"
"34",2019-12-12 20:00:00,26.48,29.98,25.3418,1576180800,"Unfiltered"
"35",2019-12-12 20:10:00,25.18,29.06,23.9278,1576181400,"Unfiltered"
"36",2019-12-12 20:20:00,22.05,25.63,19.5428,1576182000,"Unfiltered"
"37",2019-12-12 20:30:00,23.82,27.18,23.0383,1576182600,"Unfiltered"
"38",2019-12-12 20:40:00,21.44,24.58,19.0454,1576183200,"Unfiltered"
"39",2019-12-12 21:00:00,27.27,30.4,25.3056,1576184400,"Unfiltered"
"40",2019-12-12 21:10:00,26.4,29.56,26.2351,1576185000,"Unfiltered"
"41",2019-12-12 21:20:00,27.42,30.18,28.7322,1576185600,"Unfiltered"
"42",2019-12-12 21:30:00,25,27.67,24.2989,1576186200,"Unfiltered"
"43",2019-12-12 21:40:00,20.22,23.68,18.4316,1576186800,"Unfiltered"
"44",2019-12-12 21:50:00,21.52,24.13,18.511,1576187400,"Unfiltered"
"45",2019-12-12 22:00:00,25.76,27.59,24.176,1576188000,"Unfiltered"
"46",2019-12-12 22:10:00,25.47,27.29,23.0281,1576188600,"Unfiltered"
"47",2019-12-12 22:20:00,24.73,26.11,22.4669,1576189200,"Unfiltered"
"48",2019-12-12 22:30:00,24.18,26.55,22.179,1576189800,"Unfiltered"
"49",2019-12-12 22:40:00,18.97,20.96,16.9855,1576190400,"Unfiltered"
"50",2019-12-12 22:50:00,21.54,23.2,18.3285,1576191000,"Unfiltered"
"51",2019-12-12 23:00:00,20.83,23.15,16.5994,1576191600,"Unfiltered"
"52",2019-12-12 23:10:00,21.86,24.51,17.8209,1576192200,"Unfiltered"
"53",2019-12-12 23:20:00,20.11,22.78,16.0813,1576192800,"Unfiltered"
"54",2019-12-12 23:30:00,20.96,23.25,17.3563,1576193400,"Unfiltered"
"55",2019-12-12 23:40:00,22.04,24.36,19.7543,1576194000,"Unfiltered"
"56",2019-12-13 00:00:00,29.87,30.63,19.6093,1576195200,"Unfiltered"
"57",2019-12-13 00:10:00,29.35,30.04,28.2353,1576195800,"Unfiltered"
"58",2019-12-13 00:20:00,23.52,25.49,20.738,1576196400,"Unfiltered"
"59",2019-12-13 00:30:00,21.75,24.41,19.956,1576197000,"Unfiltered"
"60",2019-12-13 00:40:00,15.01,19,13.4676,1576197600,"Unfiltered"
"61",2019-12-13 00:50:00,11.26,16.31,11.0043,1576198200,"Unfiltered"
"62",2019-12-13 01:00:00,11.73,16.23,12.2285,1576198800,"Unfiltered"
"63",2019-12-13 01:10:00,11.73,15.39,11.0933,1576199400,"Unfiltered"
"64",2019-12-13 01:20:00,10.68,15.71,10.1892,1576200000,"Unfiltered"
"65",2019-12-13 01:30:00,10.7,15.67,11.2301,1576200600,"Unfiltered"
"66",2019-12-13 01:40:00,11.17,16.25,11.2909,1576201200,"Unfiltered"
"67",2019-12-13 01:50:00,9.76,14.93,10.2903,1576201800,"Unfiltered"
"68",2019-12-13 02:00:00,10.76,15.5,10.6109,1576202400,"Unfiltered"
"69",2019-12-13 02:10:00,10.08,14.55,9.6811,1576203000,"Unfiltered"
"70",2019-12-13 02:20:00,10.76,15.05,10.4473,1576203600,"Unfiltered"
"71",2019-12-13 02:30:00,12.67,15.94,13.3055,1576204200,"Unfiltered"
"72",2019-12-13 02:40:00,13.58,16.78,12.604,1576204800,"Unfiltered"
"73",2019-12-13 03:00:00,21.29,23.12,13.8477,1576206000,"Unfiltered"
"74",2019-12-13 03:10:00,16.79,19.63,15.6329,1576206600,"Unfiltered"
"75",2019-12-13 03:20:00,18.16,19.77,16.1557,1576207200,"Unfiltered"
"76",2019-12-13 03:30:00,19.75,20.53,16.7551,1576207800,"Unfiltered"
"77",2019-12-13 03:40:00,23.26,23.73,21.956,1576208400,"Unfiltered"
"78",2019-12-13 04:30:00,28.51,26.57,26.34,1576211400,"Unfiltered"
"79",2019-12-13 04:40:00,34.13,29.15,31.3932,1576212000,"Unfiltered"
"80",2019-12-13 04:50:00,36.42,29.96,35.5158,1576212600,"Unfiltered"
"81",2019-12-13 05:00:00,43.64,34.73,40.3429,1576213200,"Unfiltered"
"82",2019-12-13 05:10:00,51.04,37.56,47.8167,1576213800,"Unfiltered"
"83",2019-12-13 05:20:00,48.29,37.47,44.7906,1576214400,"Unfiltered"
"84",2019-12-13 05:30:00,50.59,37.46,52.242,1576215000,"Unfiltered"
"85",2019-12-13 05:40:00,38.6,32.32,37.5429,1576215600,"Unfiltered"
"86",2019-12-13 06:00:00,53.07,39.18,49.2719,1576216800,"Unfiltered"
"87",2019-12-13 06:10:00,47.07,37.7,48.6057,1576217400,"Unfiltered"
"88",2019-12-13 06:20:00,45.92,37.03,41.5293,1576218000,"Unfiltered"
"89",2019-12-13 06:30:00,45.97,37.4,31.7207,1576218600,"Unfiltered"
"90",2019-12-13 06:40:00,48.72,38.57,55.0067,1576219200,"Unfiltered"
"91",2019-12-13 06:50:00,53.64,41.12,57.4689,1576219800,"Unfiltered"
"92",2019-12-13 07:00:00,49.2,39.08,48.3222,1576220400,"Unfiltered"
"93",2019-12-13 07:10:00,35.4,30.7,30.7077,1576221000,"Unfiltered"
"94",2019-12-13 07:20:00,19.64,20.52,16.6995,1576221600,"Unfiltered"
"95",2019-12-13 07:30:00,20.83,22.77,20.8335,1576222200,"Unfiltered"
"96",2019-12-13 07:40:00,18.34,20,21.2974,1576222800,"Unfiltered"
"97",2019-12-13 07:50:00,16.4,20.36,17.5188,1576223400,"Unfiltered"
"98",2019-12-13 08:00:00,15.49,19.22,16.9776,1576224000,"Unfiltered"
"99",2019-12-13 08:10:00,18.53,20.55,19.6638,1576224600,"Unfiltered"
"100",2019-12-13 08:20:00,16.58,19.36,17.6092,1576225200,"Unfiltered"
"101",2019-12-13 08:30:00,14.85,18.93,14.9946,1576225800,"Unfiltered"
"102",2019-12-13 08:40:00,17.4,19.56,14.2715,1576226400,"Unfiltered"
"103",2019-12-13 09:00:00,11.58,16.16,14.1555,1576227600,"Unfiltered"
"104",2019-12-13 09:10:00,15.07,17.93,13.8329,1576228200,"Unfiltered"
"105",2019-12-13 09:20:00,16.67,18.02,14.2926,1576228800,"Unfiltered"
"106",2019-12-13 09:30:00,20.44,21.06,15.0129,1576229400,"Unfiltered"
"107",2019-12-13 09:40:00,19.34,20.75,15.3775,1576230000,"Unfiltered"
"108",2019-12-13 09:50:00,21.19,22.62,19.1131,1576230600,"Unfiltered"
"109",2019-12-13 10:00:00,27.96,26.26,27.0435,1576231200,"Unfiltered"
"110",2019-12-13 10:10:00,22,22.88,16.1719,1576231800,"Unfiltered"
"111",2019-12-13 10:20:00,24.16,23.63,22.5178,1576232400,"Unfiltered"
"112",2019-12-13 10:30:00,27.74,26.61,23.3429,1576233000,"Unfiltered"
"113",2019-12-13 10:40:00,32.12,28.71,24.116,1576233600,"Unfiltered"
"114",2019-12-13 10:50:00,22.92,22.59,14.4843,1576234200,"Unfiltered"
"115",2019-12-13 11:00:00,22.59,20.99,16.1083,1576234800,"Unfiltered"
"116",2019-12-13 11:10:00,20.58,16.32,15.1728,1576235400,"Unfiltered"
"117",2019-12-13 11:20:00,20.42,16.13,11.8653,1576236000,"Unfiltered"
"118",2019-12-13 11:30:00,22.48,20.61,17.1809,1576236600,"Unfiltered"
"119",2019-12-13 11:40:00,20.14,17.12,13.367,1576237200,"Unfiltered"
"120",2019-12-13 12:00:00,18.75,16.24,15.316,1576238400,"Unfiltered"
"121",2019-12-13 12:10:00,19.27,15.96,13.4717,1576239000,"Unfiltered"
"122",2019-12-13 12:20:00,21.62,18.41,14.8397,1576239600,"Unfiltered"
