"","Date[UTC]","RLM","RF","Reference","timestamp","Status"
"1",2019-12-12 14:10:00,38.46,41.9,25.9021,1576159800,0
"2",2019-12-12 14:20:00,39.26,42.29,22.5316,1576160400,0
"3",2019-12-12 14:30:00,37.43,39.96,25.2069,1576161000,0
"4",2019-12-12 14:40:00,37.7,39.97,24.7012,1576161600,0
"5",2019-12-12 14:50:00,40.92,43.25,26.9947,1576162200,0
"6",2019-12-12 15:00:00,45.79,47.37,31.8217,1576162800,0
"7",2019-12-12 15:10:00,46.34,47.63,36.954,1576163400,0
"8",2019-12-12 15:20:00,38.25,38.48,24.644,1576164000,0
"9",2019-12-12 15:30:00,49.05,48.24,36.7554,1576164600,0
"10",2019-12-12 15:40:00,59.43,60.52,52.2163,1576165200,0
"11",2019-12-12 15:50:00,76.71,73.89,78.9598,1576165800,0
"12",2019-12-12 16:00:00,64.67,60.92,54.2376,1576166400,0
"13",2019-12-12 16:10:00,74.55,71.8,70.717,1576167000,0
"14",2019-12-12 16:20:00,73,72,67.6865,1576167600,0
"15",2019-12-12 16:40:00,83.01,73.13,76.776,1576168800,0
"16",2019-12-12 16:50:00,73.48,66.01,75.0825,1576169400,0
"17",2019-12-12 17:00:00,59.94,53.86,54.8805,1576170000,0
"18",2019-12-12 17:10:00,48.66,45.22,40.7634,1576170600,0
"19",2019-12-12 17:20:00,50.05,45.68,43.0535,1576171200,0
"20",2019-12-12 17:30:00,66.62,57.34,63.2807,1576171800,0
"21",2019-12-12 17:40:00,50.18,45.45,34.9174,1576172400,0
"22",2019-12-12 17:50:00,53.7,45.64,39.6016,1576173000,0
"23",2019-12-12 18:00:00,49.85,43.56,44.6526,1576173600,0
"24",2019-12-12 18:10:00,43.31,40.19,39.3152,1576174200,0
"25",2019-12-12 18:20:00,71.37,61.66,76.8996,1576174800,0
"26",2019-12-12 18:30:00,62.8,56.85,59.1647,1576175400,0
"27",2019-12-12 18:40:00,53.43,45.43,42.377,1576176000,0
"28",2019-12-12 18:50:00,52.32,44.58,41.0475,1576176600,0
"29",2019-12-12 19:00:00,47.13,41.22,35.4202,1576177200,0
"30",2019-12-12 19:10:00,42.19,39.16,36.2622,1576177800,0
"31",2019-12-12 19:20:00,42.82,38.7,32.8242,1576178400,0
"32",2019-12-12 19:40:00,40.51,37.38,43.6882,1576179600,0
"33",2019-12-12 19:50:00,45.21,37.9,36.8326,1576180200,0
"34",2019-12-12 20:00:00,47.5,40.93,42.2789,1576180800,0
"35",2019-12-12 20:10:00,44.86,38.51,40.035,1576181400,0
"36",2019-12-12 20:20:00,37.25,33.1,28.6675,1576182000,0
"37",2019-12-12 20:30:00,37.87,32.1,32.8551,1576182600,0
"38",2019-12-12 20:40:00,33.81,31.35,22.8866,1576183200,0
"39",2019-12-12 20:50:00,34.02,31.44,27.6454,1576183800,0
"40",2019-12-12 21:00:00,31.43,30.27,23.0233,1576184400,0
"41",2019-12-12 21:10:00,34.78,31.79,28.2786,1576185000,0
"42",2019-12-12 21:20:00,40.01,33.67,35.7694,1576185600,0
"43",2019-12-12 21:30:00,34.54,30.65,28.6096,1576186200,0
"44",2019-12-12 21:40:00,24.32,22.17,15.4112,1576186800,0
"45",2019-12-12 21:50:00,30.44,28.28,20.105,1576187400,0
"46",2019-12-12 22:00:00,37.37,33.07,31.3635,1576188000,0
"47",2019-12-12 22:10:00,29.04,27.49,19.6486,1576188600,0
"48",2019-12-12 22:20:00,27.14,24.91,15.8352,1576189200,0
"49",2019-12-12 22:40:00,29.74,28.22,13.5672,1576190400,0
"50",2019-12-12 22:50:00,29.46,27.63,19.2148,1576191000,0
