"","Model","AC9_NO_00","AC9_NO_01","AC9_NO2_00","AC9_NO2_01","AC10_NO_00","AC10_NO_01","AC10_NO2_00","AC10_NO2_01","AC11_NO_00","AC11_NO_01","AC11_NO2_00","AC11_NO2_01","AC12_NO_00","AC12_NO_01","AC12_NO2_00","AC12_NO2_01"
"1","RLM_ 1",0.73,0.666,0.445,0.584,0.652,0.559,0.448,0.615,0.62,0.651,0.227,0.483,0.509,0.582,0.341,0.59
"2","RLM_ 2",0.73,0.666,0.445,0.584,0.652,0.559,0.448,0.615,0.62,0.651,0.227,0.483,0.509,0.582,0.341,0.59
"3","RLM_ 3",0.78,0.724,0.556,0.694,0.749,0.716,0.555,0.699,0.764,0.706,0.287,0.574,0.814,0.679,0.443,0.688
"4","RLM_ 4",0.749,0.683,0.581,0.674,0.681,0.618,0.558,0.681,0.698,0.668,0.273,0.565,0.701,0.609,0.437,0.703
"5","RLM_ 5",0.796,0.759,0.582,0.696,0.783,0.756,0.57,0.7,0.778,0.732,0.288,0.578,0.823,0.735,0.451,0.707
"6","RLM_ 6",0.78,0.725,0.635,0.809,0.749,0.716,0.661,0.807,0.765,0.706,0.365,0.71,0.817,0.685,0.543,0.766
"7","RLM_ 7",0.78,0.728,0.662,0.822,0.751,0.719,0.693,0.822,0.764,0.707,0.396,0.745,0.815,0.691,0.571,0.792
"8","RLM_ 8",0.782,0.732,0.685,0.827,0.754,0.722,0.719,0.83,0.764,0.71,0.425,0.771,0.815,0.699,0.595,0.813
"9","RLM_ 9",0.784,0.737,0.702,0.827,0.758,0.726,0.737,0.833,0.764,0.713,0.45,0.789,0.814,0.707,0.613,0.828
"10","RLM_ 10",0.749,0.684,0.66,0.777,0.682,0.619,0.667,0.783,0.699,0.668,0.354,0.703,0.701,0.613,0.538,0.779
"11","RLM_ 11",0.749,0.686,0.68,0.786,0.683,0.621,0.691,0.794,0.698,0.668,0.38,0.73,0.701,0.619,0.558,0.798
"12","RLM_ 12",0.75,0.689,0.695,0.788,0.685,0.624,0.708,0.799,0.698,0.669,0.403,0.749,0.702,0.626,0.573,0.813
"13","RLM_ 13",0.752,0.693,0.706,0.787,0.688,0.628,0.719,0.8,0.699,0.672,0.423,0.762,0.703,0.632,0.584,0.823
"14","RLM_ 14",0.797,0.759,0.661,0.809,0.783,0.756,0.681,0.807,0.781,0.734,0.371,0.718,0.828,0.736,0.556,0.784
"15","RLM_ 15",0.796,0.759,0.682,0.823,0.783,0.756,0.708,0.822,0.779,0.733,0.4,0.749,0.826,0.738,0.58,0.805
"16","RLM_ 16",0.796,0.76,0.698,0.829,0.783,0.756,0.728,0.831,0.778,0.733,0.428,0.772,0.825,0.741,0.6,0.821
"17","RLM_ 17",0.796,0.762,0.711,0.831,0.784,0.757,0.742,0.835,0.778,0.733,0.451,0.789,0.824,0.744,0.615,0.834
"18","RLM_ 18",0.924,0.903,0.646,0.745,0.902,0.882,0.632,0.729,0.901,0.896,0.407,0.632,0.914,0.871,0.58,0.732
"19","RLM_ 19",0.925,0.907,0.74,0.859,0.906,0.887,0.749,0.833,0.902,0.898,0.56,0.779,0.914,0.882,0.733,0.807
"20","RLM_ 20",0.926,0.909,0.769,0.869,0.908,0.891,0.78,0.847,0.903,0.9,0.609,0.813,0.915,0.888,0.768,0.831
"21","RLM_ 21",0.927,0.912,0.792,0.872,0.911,0.894,0.802,0.853,0.904,0.902,0.65,0.836,0.917,0.893,0.793,0.85
"22","RLM_ 22",0.928,0.914,0.809,0.869,0.913,0.898,0.817,0.854,0.906,0.903,0.682,0.85,0.918,0.897,0.808,0.864
"23","RLM_ 23",0.925,0.907,0.74,0.859,0.906,0.887,0.749,0.833,0.902,0.898,0.56,0.779,0.914,0.882,0.733,0.807
"24","RLM_ 24",0.926,0.909,0.769,0.869,0.908,0.891,0.78,0.847,0.903,0.9,0.609,0.813,0.915,0.888,0.768,0.831
"25","RLM_ 25",0.927,0.912,0.792,0.872,0.911,0.894,0.802,0.853,0.904,0.902,0.65,0.836,0.917,0.893,0.793,0.85
"26","RLM_ 26",0.928,0.914,0.809,0.869,0.913,0.898,0.817,0.854,0.906,0.903,0.682,0.85,0.918,0.897,0.808,0.864
"27","RF_ 1",0.807,0.749,0.58,0.681,0.717,0.622,0.561,0.685,0.686,0.75,0.387,0.585,0.559,0.677,0.529,0.663
"28","RF_ 2",0.945,0.933,0.722,0.781,0.933,0.923,0.69,0.78,0.935,0.929,0.473,0.677,0.942,0.913,0.645,0.788
"29","RF_ 3",0.948,0.937,0.865,0.917,0.934,0.928,0.843,0.909,0.939,0.934,0.666,0.872,0.944,0.924,0.849,0.898
"30","RF_ 4",0.949,0.938,0.879,0.919,0.936,0.93,0.861,0.916,0.938,0.934,0.704,0.889,0.945,0.927,0.869,0.91
"31","RF_ 5",0.948,0.937,0.888,0.919,0.936,0.93,0.875,0.919,0.938,0.934,0.737,0.898,0.946,0.929,0.879,0.916
"32","RF_ 6",0.949,0.938,0.894,0.915,0.936,0.93,0.883,0.919,0.939,0.935,0.756,0.904,0.946,0.929,0.885,0.92
"33","RF_ 7",0.896,0.861,0.714,0.75,0.819,0.773,0.662,0.747,0.856,0.85,0.46,0.653,0.844,0.794,0.612,0.771
"34","RF_ 8",0.949,0.941,0.758,0.792,0.942,0.936,0.72,0.792,0.94,0.936,0.529,0.702,0.945,0.927,0.686,0.81
"35","RF_ 9",0.945,0.933,0.722,0.78,0.933,0.923,0.69,0.78,0.935,0.929,0.473,0.677,0.942,0.913,0.645,0.788
