"","Date","SO2_ppb","NOx_ppb","NO2_ppb","NO_ppb","O3_ppb","CO_ppb","DRUCK_hPa","TEMP_C","FEUCHTE_%","WIRI_GRAD","WIGE_m/s","WIGEM_m/s","REGEN_mm","P_Anz_1/cm3","PM10_kon_ug/m3","Russ_25_ug/m3","timestamp"
"4038",2018-06-29 00:00:00,0.1001,4.4692,4.4758,-0.0067,42.3021,131.05,965.7081,16.1,74,76.2595,2.6142,4.52,0,3407.8721,6.9256,0.1346,1530230400
"4039",2018-06-29 00:10:00,0.1483,2.015,2.1867,-0.1717,44.4914,129.2833,965.6578,15.8,74.9,54.0064,2.8127,4.57,0,2288.387,7.0332,0.1237,1530231000
"4040",2018-06-29 00:20:00,0.1417,4.745,4.3183,0.4267,42.5895,126.6333,965.6799,15.9,75.4,84.517,2.4987,4.16,0,7552.9424,8.3911,0.1532,1530231600
"4041",2018-06-29 00:30:00,0.129,5.9092,5.2458,0.6633,41.8668,128.4583,965.7582,16.4,73.5,90.0662,2.437,3.96,0,8498.1846,8.5443,0.1928,1530232200
"4042",2018-06-29 00:40:00,0.1129,1.9083,2.2333,-0.325,43.9108,128.15,965.7672,16.5,73.9,70.1102,2.5942,4.74,0,2434.9568,7.6697,0.1478,1530232800
"4043",2018-06-29 00:50:00,0.1561,1.9525,1.9933,-0.0408,43.3952,129.8333,965.6852,16.5,74.9,70.5858,2.9582,4.71,0,2621.7517,7.7505,0.0842,1530233400
"4044",2018-06-29 01:00:00,0.1496,2.0817,2.1058,-0.0242,42.4446,131.2083,965.5695,16.4,75.4,58.6469,2.022,3.37,0,2453.834,7.5802,0.1261,1530234000
"4045",2018-06-29 01:10:00,0.1651,2.11,2.15,-0.04,42.0116,132.75,965.4772,16.5,75.5,57.3421,2.398,4.76,0,2395.2258,8.7702,0.1323,1530234600
"4046",2018-06-29 01:20:00,0.1463,1.6683,1.9308,-0.2625,41.0892,132.525,965.5632,16.5,75.6,56.5839,2.7205,4.55,0,2351.1462,9.7661,0.1296,1530235200
"4047",2018-06-29 01:30:00,0.1385,2.0458,2.0917,-0.0458,40.3749,132.575,965.5703,16.4,76,49.4631,2.853,4.62,0,2344.7219,9.9126,0.1076,1530235800
"4048",2018-06-29 01:40:00,0.1651,2.3633,2.5617,-0.1983,39.6468,134.4917,965.4195,16.5,76.4,46.9986,3.3885,5.27,0,2340.8674,9.5603,0.1412,1530236400
"4049",2018-06-29 01:50:00,0.1203,2.6492,2.5558,0.0933,38.4017,135.55,965.3307,16.5,76.8,57.3332,2.8392,5.14,0,2306.77,9.86,0.1366,1530237000
"4050",2018-06-29 02:00:00,0.1705,2.5408,2.79,-0.2492,37.9068,137.45,965.2827,16.6,77.3,62.7829,2.853,4.34,0,2272.2771,10.219,0.1108,1530237600
