"","Date","SO2_ppb","NOx_ppb","NO2_ppb","NO_ppb","O3_ppb","CO_ppb","DRUCK_hPa","TEMP_C","FEUCHTE_%","WIRI_GRAD","WIGE_m/s","WIGEM_m/s","REGEN_mm","P_Anz_1/cm3","PM10_kon_ug/m3","Russ_25_ug/m3","timestamp"
"80502",2019-12-12 00:00:00,0.1137,22.0366,14.6873,7.3493,12.0569,213.9065,958.2382,2.3852,99.88,135.4264,0.8637,1.33,0,19565.4707,11.9506,0.5523,1576108800
"80503",2019-12-12 00:10:00,0.1037,17.9924,12.1751,5.8173,13.0144,219.207,958.0388,2.3301,99.8894,161.5871,0.7148,1.16,0,11411.0781,10.8623,0.4149,1576109400
"80504",2019-12-12 00:20:00,0.1188,14.1198,10.1507,3.9691,16.834,264.1159,957.9155,2.3647,99.8918,171.085,0.9792,1.63,0,7952.4199,10.3214,0.3399,1576110000
"80505",2019-12-12 00:30:00,0.1278,7.984,6.2122,1.7717,19.9417,208.283,957.9015,2.4582,99.9088,186.7197,0.8678,1.98,0,10043.1465,10.8706,0.355,1576110600
"80506",2019-12-12 00:40:00,0.1213,18.1289,11.6071,6.5218,15.9956,208.1086,957.83,2.5018,99.9115,159.4214,0.7713,1.3,0,15153.3818,11.043,0.3375,1576111200
"80507",2019-12-12 00:50:00,0.1325,10.7314,8.2926,2.4388,17.4565,208.7674,957.814,2.4974,99.9198,200.6028,0.652,1.2,0,6200.6606,11.4807,0.345,1576111800
"80508",2019-12-12 01:00:00,0.1422,11.9205,8.6659,3.2546,18.7825,209.3179,957.7784,2.4729,99.925,209.8266,1.1073,1.92,0,6454.835,10.6735,0.2745,1576112400
"80509",2019-12-12 01:10:00,0.1526,16.2913,12.2575,4.0338,16.9188,204.285,957.7014,2.4667,99.93,258.4325,0.932,1.75,0,7031.7808,10.3329,0.4209,1576113000
"80510",2019-12-12 01:20:00,0.142,23.7512,16.9591,6.7921,14.3794,218.5689,957.7169,2.5417,99.9344,247.5625,0.6425,1.64,0,17671.8887,11.0466,0.5201,1576113600
"80511",2019-12-12 01:30:00,0.1146,13.6953,9.8833,3.812,19.3107,197.211,957.6151,2.4676,99.9498,217.2325,1.0152,2.09,0,11227.6143,10.7415,0.2806,1576114200
"80512",2019-12-12 01:40:00,0.1282,16.3644,12.2507,4.1137,17.2063,194.1615,957.4677,2.2808,99.9613,130.1632,0.7588,1.09,0,13208.6035,9.426,0.2234,1576114800
"80513",2019-12-12 01:50:00,0.0765,12.8761,10.7771,2.0989,16.1995,190.137,957.3908,2.0177,99.9523,103.3222,0.9032,1.39,0,14422.4434,7.5381,0.239,1576115400
"80514",2019-12-12 02:00:00,0.1113,23.3177,16.1167,7.201,14.0797,203.6792,957.3672,2.0679,99.9414,112.5899,1.2142,1.77,0,7826.4897,8.4457,0.3698,1576116000
"80515",2019-12-12 02:10:00,0.1176,13.661,9.4443,4.2166,18.7953,195.913,957.3511,2.1332,99.9475,142.7074,1.4345,1.92,0,8411.2813,10.8985,0.3722,1576116600
"80516",2019-12-12 02:20:00,0.0739,15.9726,11.252,4.7206,17.8702,195.1135,957.2726,2.2252,99.9468,137.2118,0.8023,1.59,0,19813.207,9.9385,0.2634,1576117200
